Title,Brand,MRP,Price,Count of Ratings,Count of Reviews,Average Rating Score,Product URL,Image URL
SAMSUNG 8 Series 163 cm (65 inch) 4K Ultra HD LED Tizen TV with Adaptive Sound,Samsung,95990,119900,0,0,0.0,https://www.croma.com/samsung-8-series-163-cm-65-inch-4k-ultra-hd-led-tizen-tv-with-adaptive-sound/p/271665,https://media.croma.com/image/upload/v1688580987/Croma%20Assets/Entertainment/Television/Images/271665_0_ppofxp.png
Xiaomi X Pro Series 127 cm (50 inch) 4K Ultra HD LED Google TV with Dolby Vision & Dolby Atmos,Xiaomi,41999,59999,0,0,0.0,https://www.croma.com/xiaomi-x-pro-series-127-cm-50-inch-4k-ultra-hd-led-google-tv-with-dolby-vision-dolby-atmos/p/272246,https://media.croma.com/image/upload/v1689335965/Croma%20Assets/Entertainment/Television/Images/272246_0_tcrcwl.png
LG UR80 108 cm (43 inch) 4K Ultra HD LED WebOS TV with AI Processor 4K Gen6 (2023 model),LG,50900,57990,0,0,0.0,https://www.croma.com/lg-ur80-108-cm-43-inch-4k-ultra-hd-led-webos-tv-with-ai-processor-4k-gen6-2023-model-/p/274323,https://media.croma.com/image/upload/v1689335268/Croma%20Assets/Entertainment/Television/Images/274323_0_tvxakw.png
Haier GS Series 127 cm (50 inch) 4K Ultra HD LED Google TV with Dolby Atmos,Haier,36990,65990,0,0,0.0,https://www.croma.com/haier-gs-series-127-cm-50-inch-4k-ultra-hd-led-google-tv-with-dolby-atmos/p/273161,https://media.croma.com/image/upload/v1688399464/Croma%20Assets/Entertainment/Television/Images/273161_ci4z7x.png
SAMSUNG Crystal 4K Pro 125 cm (50 inch) 4K Ultra HD LED Tizen TV with Alexa Compatibility (2021 model),Samsung,45990,71400,1,1,3.0,https://www.croma.com/samsung-crystal-4k-pro-125-cm-50-inch-4k-ultra-hd-led-tizen-tv-with-alexa-compatibility-2021-model-/p/250633,https://media.croma.com/image/upload/v1664197309/Croma%20Assets/Entertainment/Television/Images/250633_0_ia1mbh.png
LG UR80 164 cm (65 inch) 4K Ultra HD LED WebOS  TV with AI Processor 4K Gen6,LG,92690,124990,0,0,0.0,https://www.croma.com/lg-ur80-164-cm-65-inch-4k-ultra-hd-led-webos-tv-with-ai-processor-4k-gen6/p/273716,https://media.croma.com/image/upload/v1689334221/Croma%20Assets/Entertainment/Television/Images/273716_0_ypqpl9.png
TCL C835 189 cm (75 inch) QLED 4K Ultra HD Android TV with Voice Assistance (2022 model),TCL,189990,429990,0,0,0.0,https://www.croma.com/tcl-c835-189-cm-75-inch-qled-4k-ultra-hd-android-tv-with-voice-assistance-2022-model-/p/255764,https://media.croma.com/image/upload/v1680264514/Croma%20Assets/Entertainment/Television/Images/255764_wfxn1j.png
Haier K Series 139 cm (55 inch) 4K Ultra HD LED Android TV with Google Assistant,Haier,44899,86990,1,1,5.0,https://www.croma.com/haier-k-series-139-cm-55-inch-4k-ultra-hd-led-android-tv-with-google-assistant/p/251226,https://media.croma.com/image/upload/v1663781979/Croma%20Assets/Entertainment/Television/Images/251226_0_hy3gcf.png
LG UR77 108 cm (43 inch) 4K Ultra HD LED WebOS TV with AI Processor 4K Gen6,LG,52490,62990,0,0,0.0,https://www.croma.com/lg-ur77-108-cm-43-inch-4k-ultra-hd-led-webos-tv-with-ai-processor-4k-gen6/p/274010,https://media.croma.com/image/upload/v1689333518/Croma%20Assets/Entertainment/Television/Images/274010_0_gnlok4.png
TCL P735 165.1 cm (65 inch) 4K Ultra HD LED Android TV with Voice Assistance (2022 model),TCL,65990,125990,0,0,0.0,https://www.croma.com/tcl-p735-165-1-cm-65-inch-4k-ultra-hd-led-android-tv-with-voice-assistance-2022-model-/p/255762,https://media.croma.com/image/upload/v1680264523/Croma%20Assets/Entertainment/Television/Images/255762_xvwi9u.png
